effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),813.456,15.327,53.072,102.34,0
fixed,NA,X_i,37.515,24.572,1.527,51.039,0.133
ran_pars,subj_id,sd__(Intercept),94.239,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.051,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.963,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.127,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.962,NA,NA,NA,NA
fixed,NA,(Intercept),778.822,15.49,50.279,118.39,0
fixed,NA,X_i,15.802,22.93,0.689,50.674,0.494
ran_pars,subj_id,sd__(Intercept),105.969,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.019,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.953,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.26,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.333,NA,NA,NA,NA
fixed,NA,(Intercept),800.531,13.864,57.74,127.98,0
fixed,NA,X_i,10.568,18.836,0.561,48.229,0.577
ran_pars,subj_id,sd__(Intercept),101.943,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.916,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,12.629,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),63.409,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.574,NA,NA,NA,NA
fixed,NA,(Intercept),747.82,14.682,50.935,106.364,0
fixed,NA,X_i,65.849,22.953,2.869,49.921,0.006
ran_pars,subj_id,sd__(Intercept),93.076,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.127,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.35,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.743,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.625,NA,NA,NA,NA
fixed,NA,(Intercept),797.72,15.833,50.383,112.488,0
fixed,NA,X_i,26.269,24.26,1.083,51.141,0.284
ran_pars,subj_id,sd__(Intercept),104.126,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.112,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.174,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.92,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.56,NA,NA,NA,NA
fixed,NA,(Intercept),802.311,16.895,47.488,105.125,0
fixed,NA,X_i,45.989,26.72,1.721,50.406,0.091
ran_pars,subj_id,sd__(Intercept),105.594,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.251,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.63,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.038,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.251,NA,NA,NA,NA
fixed,NA,(Intercept),794.147,15.366,51.682,110.877,0
fixed,NA,X_i,36.945,23.593,1.566,50.166,0.124
ran_pars,subj_id,sd__(Intercept),100.109,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.355,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.133,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.007,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.458,NA,NA,NA,NA
fixed,NA,(Intercept),787.026,15.461,50.905,96.368,0
fixed,NA,X_i,56.438,25.532,2.21,51.896,0.032
ran_pars,subj_id,sd__(Intercept),90.901,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.285,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.276,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.092,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.077,NA,NA,NA,NA
fixed,NA,(Intercept),790.785,15.08,52.439,96.144,0
fixed,NA,X_i,78.891,24.672,3.198,49.935,0.002
ran_pars,subj_id,sd__(Intercept),88.553,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.043,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.675,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.97,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.732,NA,NA,NA,NA
fixed,NA,(Intercept),812.418,15.146,53.639,102.473,0
fixed,NA,X_i,64.547,24.172,2.67,50.387,0.01
ran_pars,subj_id,sd__(Intercept),93.314,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.143,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.682,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.918,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.487,NA,NA,NA,NA
fixed,NA,(Intercept),795.128,14.234,55.86,123.139,0
fixed,NA,X_i,25.187,20.718,1.216,53.667,0.229
ran_pars,subj_id,sd__(Intercept),100.799,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.252,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,50.194,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.284,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.945,NA,NA,NA,NA
fixed,NA,(Intercept),798.884,16.645,47.997,93.507,0
fixed,NA,X_i,21.145,27.488,0.769,49.34,0.445
ran_pars,subj_id,sd__(Intercept),95.333,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.361,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.083,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),94.373,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.386,NA,NA,NA,NA
fixed,NA,(Intercept),779.964,15.344,50.831,127.279,0
fixed,NA,X_i,2.282,21.655,0.105,52.361,0.916
ran_pars,subj_id,sd__(Intercept),111.168,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.189,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.344,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.068,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.89,NA,NA,NA,NA
fixed,NA,(Intercept),779.453,14.589,53.426,114.031,0
fixed,NA,X_i,34.407,22.473,1.531,54.293,0.132
ran_pars,subj_id,sd__(Intercept),97.293,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.226,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,56.803,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.256,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.906,NA,NA,NA,NA
fixed,NA,(Intercept),770.989,17.215,44.786,123.98,0
fixed,NA,X_i,82.107,24.782,3.313,50.327,0.002
ran_pars,subj_id,sd__(Intercept),121.091,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.35,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.084,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.193,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.356,NA,NA,NA,NA
fixed,NA,(Intercept),793.507,14.268,55.613,115.236,0
fixed,NA,X_i,58.453,21.156,2.763,48.405,0.008
ran_pars,subj_id,sd__(Intercept),96.089,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.066,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,15.956,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.833,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.696,NA,NA,NA,NA
fixed,NA,(Intercept),795.839,17.024,46.747,106.131,0
fixed,NA,X_i,36.76,26.567,1.384,48.628,0.173
ran_pars,subj_id,sd__(Intercept),107.071,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.489,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,22.556,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.412,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.784,NA,NA,NA,NA
fixed,NA,(Intercept),803.464,14.192,56.612,98.209,0
fixed,NA,X_i,42.443,22.805,1.861,48.503,0.069
ran_pars,subj_id,sd__(Intercept),84.992,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.436,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,18.231,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.767,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.923,NA,NA,NA,NA
fixed,NA,(Intercept),798.133,16.594,48.098,111.598,0
fixed,NA,X_i,90.104,25.514,3.532,50.717,0.001
ran_pars,subj_id,sd__(Intercept),108.292,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.237,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.138,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.583,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.892,NA,NA,NA,NA
fixed,NA,(Intercept),818.566,15.419,53.087,94.502,0
fixed,NA,X_i,43.256,25.485,1.697,50.473,0.096
ran_pars,subj_id,sd__(Intercept),89.242,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.129,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.254,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.68,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.076,NA,NA,NA,NA
fixed,NA,(Intercept),803.597,14.213,56.538,119.889,0
fixed,NA,X_i,25.216,20.898,1.207,51.674,0.233
ran_pars,subj_id,sd__(Intercept),98.556,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.34,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.437,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),69.675,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.413,NA,NA,NA,NA
fixed,NA,(Intercept),800.366,16.357,48.931,105.847,0
fixed,NA,X_i,74.749,25.688,2.91,49.836,0.005
ran_pars,subj_id,sd__(Intercept),102.883,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.27,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.159,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.588,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.314,NA,NA,NA,NA
fixed,NA,(Intercept),792.638,14.754,53.725,122.232,0
fixed,NA,X_i,61.528,21.345,2.883,51.151,0.006
ran_pars,subj_id,sd__(Intercept),103.756,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.507,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.427,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.369,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.796,NA,NA,NA,NA
fixed,NA,(Intercept),799.315,16.228,49.255,121.376,0
fixed,NA,X_i,57.486,23.674,2.428,50.54,0.019
ran_pars,subj_id,sd__(Intercept),112.709,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.063,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.974,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.076,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.923,NA,NA,NA,NA
fixed,NA,(Intercept),799.629,15.958,50.108,117.682,0
fixed,NA,X_i,15.532,23.528,0.66,48.876,0.512
ran_pars,subj_id,sd__(Intercept),108.486,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.162,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,23.821,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.23,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.919,NA,NA,NA,NA
fixed,NA,(Intercept),793.675,15.351,51.703,99.873,0
fixed,NA,X_i,56.977,24.735,2.304,49.996,0.025
ran_pars,subj_id,sd__(Intercept),92.725,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.198,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.288,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.14,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.876,NA,NA,NA,NA
fixed,NA,(Intercept),797.816,16.797,47.497,88.007,0
fixed,NA,X_i,26.676,28.42,0.939,49.652,0.352
ran_pars,subj_id,sd__(Intercept),91.525,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.112,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.632,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),97.616,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.54,NA,NA,NA,NA
fixed,NA,(Intercept),805.771,16.113,50.007,86.153,0
fixed,NA,X_i,49.146,27.534,1.785,50.243,0.08
ran_pars,subj_id,sd__(Intercept),86.363,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.181,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.369,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),94.061,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.167,NA,NA,NA,NA
fixed,NA,(Intercept),800.258,17.86,44.807,93.856,0
fixed,NA,X_i,42.491,29.667,1.432,50.536,0.158
ran_pars,subj_id,sd__(Intercept),102.348,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.122,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,48.177,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),101.599,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.294,NA,NA,NA,NA
fixed,NA,(Intercept),796.093,15.492,51.386,108.999,0
fixed,NA,X_i,69.884,23.965,2.916,50.022,0.005
ran_pars,subj_id,sd__(Intercept),99.797,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.234,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.588,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.263,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,204.276,NA,NA,NA,NA
fixed,NA,(Intercept),791.57,16.193,48.882,89.139,0
fixed,NA,X_i,11.197,27.259,0.411,49.656,0.683
ran_pars,subj_id,sd__(Intercept),89.3,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.318,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.239,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),93.408,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.807,NA,NA,NA,NA
fixed,NA,(Intercept),806.93,16.701,48.315,93.768,0
fixed,NA,X_i,99.728,27.524,3.623,49.128,0.001
ran_pars,subj_id,sd__(Intercept),95.85,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.368,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,30.513,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),94.623,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.862,NA,NA,NA,NA
fixed,NA,(Intercept),781.822,15.845,49.34,102.024,0
fixed,NA,X_i,82.251,25.405,3.238,50.705,0.002
ran_pars,subj_id,sd__(Intercept),97.131,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.525,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.971,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.194,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.814,NA,NA,NA,NA
fixed,NA,(Intercept),803.636,15.403,52.174,112.243,0
fixed,NA,X_i,52.806,23.629,2.235,51.456,0.03
ran_pars,subj_id,sd__(Intercept),101.371,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.14,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.154,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.426,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.983,NA,NA,NA,NA
fixed,NA,(Intercept),803.623,16.745,47.992,102.583,0
fixed,NA,X_i,61.603,26.632,2.313,49.357,0.025
ran_pars,subj_id,sd__(Intercept),102.815,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.326,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,32.455,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),91.3,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.595,NA,NA,NA,NA
fixed,NA,(Intercept),779.851,16.474,47.337,108.989,0
fixed,NA,X_i,94.204,25.614,3.678,50.536,0.001
ran_pars,subj_id,sd__(Intercept),105.736,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.086,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.993,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.047,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.799,NA,NA,NA,NA
fixed,NA,(Intercept),821.58,15.138,54.272,133.571,0
fixed,NA,X_i,57.563,19.937,2.887,50.988,0.006
ran_pars,subj_id,sd__(Intercept),115.356,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.208,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.209,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),66.404,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.81,NA,NA,NA,NA
fixed,NA,(Intercept),788.54,14.828,53.18,108.529,0
fixed,NA,X_i,76.268,23.29,3.275,52.677,0.002
ran_pars,subj_id,sd__(Intercept),95.293,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.081,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.2,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.83,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.782,NA,NA,NA,NA
fixed,NA,(Intercept),793.615,15.135,52.436,132.36,0
fixed,NA,X_i,56.673,20.206,2.805,50.849,0.007
ran_pars,subj_id,sd__(Intercept),114.106,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.293,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.827,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),67.423,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.349,NA,NA,NA,NA
fixed,NA,(Intercept),819.185,15.543,52.704,126.489,0
fixed,NA,X_i,20.002,22.008,0.909,51.656,0.368
ran_pars,subj_id,sd__(Intercept),111.894,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.56,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.365,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),73.617,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.931,NA,NA,NA,NA
fixed,NA,(Intercept),816.77,15.401,53.035,115.969,0
fixed,NA,X_i,3.739,23.362,0.16,52.728,0.873
ran_pars,subj_id,sd__(Intercept),103.632,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.405,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.624,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.083,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.009,NA,NA,NA,NA
fixed,NA,(Intercept),797.78,15.817,50.437,114.978,0
fixed,NA,X_i,35.198,23.797,1.479,49.941,0.145
ran_pars,subj_id,sd__(Intercept),105.639,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.002,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.58,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.837,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.691,NA,NA,NA,NA
fixed,NA,(Intercept),817.387,16.364,49.952,90.951,0
fixed,NA,X_i,39.864,27.358,1.457,49.725,0.151
ran_pars,subj_id,sd__(Intercept),91.7,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.05,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.093,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),93.745,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.926,NA,NA,NA,NA
fixed,NA,(Intercept),790.988,15.519,50.968,107.196,0
fixed,NA,X_i,75.238,24.515,3.069,52.295,0.003
ran_pars,subj_id,sd__(Intercept),98.62,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.022,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.581,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.379,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.294,NA,NA,NA,NA
fixed,NA,(Intercept),803.596,16.444,48.869,95.78,0
fixed,NA,X_i,56.448,27.101,2.083,50.824,0.042
ran_pars,subj_id,sd__(Intercept),96.027,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.023,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.607,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),92.189,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.628,NA,NA,NA,NA
fixed,NA,(Intercept),813.008,16.525,49.198,96.87,0
fixed,NA,X_i,29.102,27,1.078,49.994,0.286
ran_pars,subj_id,sd__(Intercept),97.316,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.331,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.346,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),92.247,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.336,NA,NA,NA,NA
fixed,NA,(Intercept),827.007,16.476,50.194,93.085,0
fixed,NA,X_i,61.037,27.431,2.225,50.571,0.031
ran_pars,subj_id,sd__(Intercept),94.031,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.179,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.023,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),93.592,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.195,NA,NA,NA,NA
fixed,NA,(Intercept),822.911,14.716,55.919,113.535,0
fixed,NA,X_i,58.922,22.31,2.641,50.583,0.011
ran_pars,subj_id,sd__(Intercept),97.785,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.287,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.366,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.175,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.968,NA,NA,NA,NA
fixed,NA,(Intercept),799.966,15.801,50.626,104.922,0
fixed,NA,X_i,23.757,24.997,0.95,50.61,0.346
ran_pars,subj_id,sd__(Intercept),98.895,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.377,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.631,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.746,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.049,NA,NA,NA,NA
fixed,NA,(Intercept),813.411,14.538,55.951,124.076,0
fixed,NA,X_i,51.273,20.87,2.457,51.953,0.017
ran_pars,subj_id,sd__(Intercept),103.467,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.019,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.836,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),69.442,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.188,NA,NA,NA,NA
fixed,NA,(Intercept),823.45,15.434,53.354,102.751,0
fixed,NA,X_i,93.336,24.475,3.813,49.289,0
ran_pars,subj_id,sd__(Intercept),95.175,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.274,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,29.275,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.546,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.268,NA,NA,NA,NA
fixed,NA,(Intercept),777.559,14.975,51.923,124.769,0
fixed,NA,X_i,63.917,21.329,2.997,50.841,0.004
ran_pars,subj_id,sd__(Intercept),106.791,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.286,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.479,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.556,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.635,NA,NA,NA,NA
fixed,NA,(Intercept),785.886,14.311,54.916,114.455,0
fixed,NA,X_i,29.311,21.53,1.361,50.463,0.179
ran_pars,subj_id,sd__(Intercept),95.947,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.369,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.473,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.277,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.2,NA,NA,NA,NA
fixed,NA,(Intercept),806.853,16.01,50.398,105.823,0
fixed,NA,X_i,10.971,25.223,0.435,50.522,0.665
ran_pars,subj_id,sd__(Intercept),100.76,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.236,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.333,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.607,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.631,NA,NA,NA,NA
fixed,NA,(Intercept),791.154,14.868,53.213,122.586,0
fixed,NA,X_i,67.191,21.455,3.132,50.718,0.003
ran_pars,subj_id,sd__(Intercept),104.584,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.212,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.894,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.053,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.977,NA,NA,NA,NA
fixed,NA,(Intercept),786.966,15.806,49.79,113.888,0
fixed,NA,X_i,36.408,23.893,1.524,49.731,0.134
ran_pars,subj_id,sd__(Intercept),104.778,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.091,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,32.817,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.337,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.447,NA,NA,NA,NA
fixed,NA,(Intercept),834.366,15.823,52.731,98.142,0
fixed,NA,X_i,56.24,25.938,2.168,51.776,0.035
ran_pars,subj_id,sd__(Intercept),94.197,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.247,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,51.238,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.661,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.366,NA,NA,NA,NA
fixed,NA,(Intercept),783.099,15.884,49.3,96.402,0
fixed,NA,X_i,-23.629,26.079,-0.906,50.613,0.369
ran_pars,subj_id,sd__(Intercept),93.255,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.281,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.275,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),88.747,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.838,NA,NA,NA,NA
fixed,NA,(Intercept),823.132,14.37,57.282,126.969,0
